Position X,Position Y,Position Z
264.355,1582.95,-18.4709
229.369,1597.7,-17.4584
318.216,1533.14,-20.1221
345.653,1576,-20.4433
301.786,1589.75,-19.9906
320.372,1526.38,-19.4576
324.766,1551.97,-19.7015
331.225,1553.42,-19.4098
326.765,1557.19,-19.125
348.807,1579.23,-18.7107
344.654,1592.87,-19.0793
310.195,1539.26,-18.2346
295.677,1567.65,-18.6517
311.727,1574.5,-18.1667
320.998,1580.55,-18.5479
397.755,1558.8,-19.9643
373.043,1568.91,-20.1498
432.866,1581.64,-19.8788
414.587,1546.06,-19.0413
374.43,1548.48,-20.1163
393.394,1566.42,-19.5989
432.019,1572.92,-19.226
393.437,1577.97,-18.8442
434.28,1587.29,-19.1127
395.85,1596.64,-19.1173
417.984,1529.57,-18.7966
407.93,1570.38,-18.6249
476.863,1549.86,-20.5536
458.319,1567.36,-20.1827
495.788,1586.81,-20.2089
477.106,1530.12,-19.8084
504.003,1545.89,-19.2973
505.503,1555.18,-19.05
487.441,1568.86,-18.5985
576.452,1560.08,-20.3207
520.031,1562.08,-20.068
509.002,1597.5,-20.0832
541.21,1534.8,-19.6071
524.836,1540.14,-19.1286
571.384,1543.39,-19.7655
536.14,1549.67,-19.1529
531.484,1552.64,-19.6829
557.106,1554.3,-19.1757
549.974,1565.92,-19.0688
517.15,1572.01,-18.9861
539.323,1573.13,-19.2058
534.72,1578.4,-18.9791
532.255,1585.29,-18.7114
540.483,1531.27,-18.38
525.348,1552.62,-18.5091
541.344,1579.31,-18.4165
509.104,1571.58,-17.4527
577.457,1576.29,-17.5656
583.792,1550.27,-19.5973
599.571,1526.45,-18.4882
638.169,1586.89,-18.644
635.022,1586.11,-18.1225
676.324,1538.37,-19.6584
90.6447,1605.85,-19.345
132.03,1621.62,-17.4536
216.792,1600.7,-20.3842
154.023,1624.71,-19.0385
190.011,1632.37,-18.7177
211.361,1662.33,-19.0066
176.432,1627,-18.5695
146.712,1628.71,-17.6903
173.038,1635.01,-18.0825
247.533,1632.87,-20.6302
224.121,1649.66,-19.7933
261.436,1604.96,-19.6356
244.068,1613.47,-18.9374
280.697,1626.1,-18.7922
229.289,1639.25,-19.5746
243.759,1648.32,-19.0758
241.744,1604.69,-18.8809
273.99,1610.95,-18.2334
277.234,1618.73,-18.4148
286.729,1628.5,-18.4172
244.622,1654,-18.5214
283.644,1619.61,-17.6376
321.916,1600.05,-19.6754
330.839,1628.24,-19.9501
310.224,1633.64,-19.7626
308.7,1640.15,-19.7597
333.041,1644.82,-20.4748
354.25,1623.79,-19.2881
302.279,1624.68,-19.5753
325.586,1632.88,-19.8795
291.485,1642.24,-19.4689
318.799,1604.71,-18.596
294.589,1619.23,-17.6687
354.072,1627.01,-18.4008
311.05,1646.15,-18.0491
317.269,1646.64,-18.9854
309.269,1655.76,-18.6688
381.289,1654.39,-20.6073
364.511,1656.47,-20.0312
398.421,1604.12,-18.9513
364.994,1610.98,-19.2936
367.214,1633.71,-18.7802
378.442,1641.09,-19.0055
372.502,1643.93,-18.644
388.327,1643.88,-19.699
367.504,1646.82,-18.9889
420.887,1655.77,-18.9825
377.455,1662.98,-18.9028
369.397,1667.98,-19.6592
392.347,1601.23,-18.4972
388.639,1615.61,-18.3156
380.632,1626.47,-18.5506
367.346,1628.35,-18.5452
368.796,1653.07,-18.1458
456.912,1618.7,-20.0234
451.299,1652.4,-20.5609
489.374,1607.32,-18.6843
506.744,1615.74,-18.8868
490.588,1623.4,-19.4587
495.082,1625.14,-18.8857
501.108,1639.79,-18.6209
458.93,1651.58,-19.0246
455.112,1666.31,-19.0829
488.918,1633.31,-18.3642
440.571,1633.66,-18.2477
495.907,1637.24,-18.2896
446.736,1649.01,-18.5832
454.434,1655.5,-18.0924
486.088,1668.02,-18.3897
495.289,1654.31,-17.1817
461.549,1654.93,-17.1725
550.042,1617.92,-19.1534
537.115,1632.88,-20.0952
510.838,1633.51,-18.2076
514.559,1642.02,-18.0751
558.92,1604.48,-17.2877
287.517,1680.03,-18.3405
359.478,1682.49,-19.3143
318.321,1675.56,-18.1493
375.71,1672.41,-20.0783
405.267,1672.59,-19.4305
435.851,1672.27,-19.1068
373.222,1682.1,-19.9184
391.426,1682.24,-18.668
431.312,1688.54,-18.1099
415.079,1688.64,-18.1413
467.322,1673.56,-19.4197
459.675,1681.97,-17.8239
533.167,1395.03,-19.2034
538.622,1399.81,-19.0454
536.022,1406.02,-18.8981
521.944,1442.81,-19.281
560.948,1444.66,-18.8499
560.685,1393.06,-18.6232
535.355,1420.77,-18.1702
622.377,1406.14,-19.9049
582.358,1408.4,-20.4783
618.78,1410.73,-20.0071
592.391,1421.28,-19.8574
597.908,1426.97,-20.6813
621.064,1384.49,-19.3198
604.221,1384.36,-19.511
