Position X,Position Y,Position Z
59.7962,1343.03,4.65481
112.664,1309.86,2.5588
105.324,1329.32,2.5993
107.691,1359.95,2.4326
89.6931,1366.14,2.81405
75.1722,1308.88,3.24261
133.85,1314.07,3.58183
121.217,1327.85,3.7019
143.12,1344.1,4.3037
103.573,1331.52,4.88739
115.938,1361.44,5.06947
207.042,1332.39,1.63206
168.94,1355.38,1.88394
202.752,1365.62,1.71186
152.629,1323.07,3.08247
217.767,1339.24,3.01441
216.04,1376.18,3.02916
174.572,1310.19,3.91919
172.196,1317.54,4.31912
207.174,1327.57,3.85956
196.888,1329.15,4.27656
186.412,1308.93,5.09508
167.261,1315.91,4.31981
177.325,1339.46,5.15302
176.103,1366.51,4.43449
190.355,1372.71,4.4157
217.846,1317.21,0.771281
256.654,1324.61,1.99476
253.646,1332.25,1.72991
225.523,1343.56,1.85386
238.059,1364.9,2.26049
287.964,1315.4,2.27376
262.593,1321.64,3.15012
289.595,1331.42,3.06936
250.411,1343.99,3.08438
279.799,1313.14,3.55331
264.164,1324.38,4.15937
275.973,1326.6,4.07058
223.912,1327.03,3.44203
244.532,1330.2,4.13227
253.381,1333.71,4.0799
233.022,1333.62,4.29302
255.565,1336.01,2.87778
259.956,1343.41,4.02962
241.794,1350.33,3.75817
270.586,1364.51,3.91217
248.416,1371.06,4.16487
222.09,1308.72,4.45845
261.159,1333.73,4.36823
284.526,1336.92,4.51983
270.696,1342.45,4.28293
277.287,1345.74,4.63354
228.192,1355.81,4.50443
283.697,1367.62,4.34318
288.774,1372.79,5.14411
275.235,1380.22,4.62278
303.246,1334.86,2.37801
351.498,1336.43,1.61147
300.039,1359.27,1.78311
350.279,1309.72,2.8925
357.382,1328.03,2.34533
317.645,1347.59,2.94439
312.065,1349.05,2.27795
294.905,1362.48,2.46992
291.2,1374.55,2.64097
312.737,1313.83,3.99133
342.717,1332.32,3.80447
298.183,1345.69,3.46004
360.698,1356.94,4.12053
333.367,1363.94,3.30596
335.516,1368.71,3.72278
316.883,1369.93,3.85253
353.95,1375.76,4.18233
317.58,1320.32,4.30442
308.191,1324.96,4.48075
322.395,1332.81,4.31853
326.263,1350.77,4.9125
338.649,1361.21,4.80296
348.086,1371.55,4.36042
303.386,1372.78,4.33009
428.592,1318.58,2.07538
363.537,1326.17,2.06007
419.241,1357.07,1.6316
396.827,1379.08,1.42587
430.306,1330.55,2.57333
426.97,1368.66,2.81572
377.666,1315.32,3.51851
368.404,1317.47,3.56746
363.781,1319.58,4.12023
383.246,1361.79,4.01752
423.495,1374.82,4.11657
366.732,1377.9,4.08494
391.203,1328.57,4.77898
435.488,1329.95,4.54014
403.436,1331.38,4.19802
407.475,1335.33,4.68912
385.061,1335.6,5.11728
370.497,1351.54,4.34247
389.264,1359.14,4.48127
419.588,1366.81,4.21835
375.106,1373.91,4.65999
391.099,1375.07,4.42686
426.216,1378.63,4.43154
478.545,1313.79,2.08956
437.898,1316.16,1.53221
463.417,1347.56,1.51301
446.408,1359.14,2.15574
471.407,1313.93,3.13566
464.618,1357.41,3.14567
497.207,1376.89,2.65936
495.018,1382.69,2.60513
492.586,1330.6,3.87284
497.857,1371.92,4.45531
450.547,1334.77,4.53842
498.791,1360.33,4.30204
451.43,1364.23,5.01495
466.267,1368.14,4.71236
511.47,1317.77,2.64919
538.066,1315.06,3.74854
520.837,1320.84,4.07271
523.828,1324.75,4.33696
111.077,1402.11,1.64703
90.3456,1442.29,3.9215
142.738,1402.65,4.30952
98.2478,1413.86,4.52762
194.541,1382.9,2.81314
216.385,1398.57,2.45301
172.999,1416.2,3.01942
150.767,1447.94,2.94764
186.332,1404.64,3.57272
211.969,1415.85,3.73952
214.481,1384.2,4.60456
178.196,1398.05,4.94956
213.032,1425.21,4.43926
180.165,1425.73,4.83958
289.447,1400.72,1.92291
237.109,1403.26,1.85068
279.079,1387.96,3.02503
266.648,1397.68,2.21217
266.812,1424.32,3.15788
249.229,1432.25,3.22993
257.23,1444.09,2.76858
252.332,1381.64,3.49877
253.15,1391.82,3.7121
287.211,1394.22,2.96332
243.046,1422.96,3.21764
258.768,1447.94,3.67617
265.29,1407.52,4.49996
245.409,1431.53,4.80194
357.695,1392,2.76205
337.601,1414.68,2.41725
333.488,1418.03,2.28219
317.9,1426.77,2.2059
305.556,1446.66,3.25124
292.683,1401.3,3.01614
333.066,1414.01,4.04711
360.737,1448.17,4.08399
357.058,1380.75,4.84602
323.344,1382.64,4.70858
291.902,1384.8,4.83815
326.215,1388.32,4.40933
363.604,1392.04,4.65215
308.517,1395.04,4.57783
308.226,1400.56,4.6836
315.856,1437.89,4.52375
324.573,1442.97,4.94902
322.04,1447.94,5.34884
307.391,1451.64,4.37198
422.935,1395.78,2.64619
419.259,1401.27,3.01098
434.881,1428.96,3.54128
370.044,1388.33,4.38288
384.344,1430.29,4.43938
464.96,1441.68,1.53485
446.376,1407.37,4.14802
466.768,1411.99,4.96021
141.748,1507.74,3.34617
190.767,1483.99,1.97911
194.092,1474.47,4.19903
188.855,1492.64,5.025
261.413,1469.67,1.99689
253.82,1496.99,1.90009
244.126,1500.51,2.72594
288.167,1499.51,2.79053
221.508,1478.88,4.33802
242.558,1521.22,4.35445
226.826,1460.21,4.96535
268.81,1466.12,4.67006
224.116,1490.39,5.12387
257.317,1491.72,4.9567
273.049,1493.88,4.67002
263.297,1501.18,4.48401
323.869,1522.35,2.17508
335.728,1455.92,2.3568
329.893,1515.76,3.08641
314.328,1453.84,3.93762
302.207,1469.14,3.7783
339.78,1455.67,4.6323
325.278,1468.99,5.16098
343.657,1467.48,5.25166
314.686,1500.07,5.00173
318.496,1500.09,3.98918
403.763,1512.79,3.22465
390.299,1485.53,4.07382
376.732,1492.22,5.11392
450.816,1468.36,2.30749
451.387,1476.98,5.26354
121.408,1366.18,5.35845
189.274,1308.81,5.49908
417.986,1327.01,5.19845
419.71,1344.13,4.59654
498.172,1367.33,5.2482
72.5327,1407.01,5.73851
287.128,1443.31,5.36009
300.307,1382.69,5.13689
347.794,1410.02,5.28254
295.691,1438.19,5.62489
439.719,1446.83,5.7521
191.307,1472.06,5.65992
318.907,1469.06,5.85132
297.184,1491.88,5.27093
301.272,1517.66,5.53723
641.672,890.531,2.3473
630.967,925.957,1.7761
594.529,938.808,2.54274
649.388,872.197,2.15129
652.511,882.882,3.2022
671.513,878.536,2.5601
674.21,880.287,2.61864
677.785,887.532,2.73794
672.336,890.536,3.42542
676.359,894.004,2.71309
677.731,922.443,2.83198
677.848,928.348,2.44289
655.102,877.522,3.1468
677.045,881.375,1.98449
681.279,896.594,3.38324
671.647,939.575,3.39937
62.9016,984.453,2.10532
63.3003,948.297,3.69395
28.327,967.093,3.8
71.1317,966.679,3.4424
20.5481,989.18,3.72044
16.7967,993.622,3.32697
51.858,1002.99,3.68068
106.045,969.753,2.07874
102.015,985.356,1.5678
110.137,1011.64,1.50184
128.915,1011.64,2.11235
125.982,945.807,3.08563
141.89,950.711,2.89127
125.764,951.152,2.6154
110.163,960.807,2.29108
138.131,969.523,2.53512
100.237,981.773,2.95514
99.7742,987.873,2.8532
143.099,998.115,2.70563
107.11,1007.4,2.81158
142.739,1012.15,2.48471
128.593,1015.89,3.15444
124.174,963.742,3.9259
105.076,986.678,3.69689
108.865,988.153,3.16053
118.672,990.395,3.62444
126.177,1006.98,3.75447
198.218,982.641,1.87739
152.285,1013.53,2.06674
162.593,948.724,3.19424
185.019,960.667,3.04279
167.806,973.799,2.7989
196.103,977.801,3.17962
166.301,979.24,3.47272
151.479,985.964,3.04426
190.454,985.986,2.81037
167.526,994.11,2.9379
212.042,997.856,2.326
170.094,998.413,3.10184
165.309,1004.96,2.71062
211.714,1016.86,2.94452
200.181,968.827,3.90819
172.989,986.34,3.86042
271.512,981.593,2.27101
276.868,984.963,1.34951
252.802,1004.08,1.7717
227.574,959.389,3.2463
274.891,966.508,3.10293
252.214,983.771,2.41068
280.046,993.533,2.85828
238.172,994.796,2.6757
242.573,1009.87,2.4818
262.798,1014.15,2.85576
255.833,970.61,4.27015
254.927,976.953,3.86316
232.723,981.041,3.74577
316.235,967.386,1.3517
330.592,1003.16,1.34349
362.54,957.335,2.53491
303.459,962.402,2.64074
302.805,967.926,2.30938
335.619,973.63,2.46808
318.889,977.286,2.22751
332.543,982.709,2.87417
326.006,989.059,2.66319
303.686,946.094,3.56615
353.16,955.441,3.82011
295.542,1014.4,3.30319
308.031,1015.75,3.39379
391.721,966.902,2.58348
431.997,979.681,1.68092
419.068,949.756,2.50641
375.382,951.896,2.6618
373.6,961.941,1.69879
435.784,967.709,2.42127
429.112,969.045,3.0184
391.749,973.845,2.76917
393.469,980.934,2.95864
410.081,997.448,3.30995
365.234,999.403,2.5398
404.178,1006.94,3.05672
390.117,1011.09,3.21829
419.636,1012.76,3.43376
375.742,967.282,3.66546
490.695,964.59,1.64127
439.57,969.471,1.91403
448.922,977.631,1.99972
469.528,981.32,1.85384
502.605,1004.56,1.75956
449.79,945.483,2.68691
472.201,958.24,2.88395
489.804,968.453,3.02028
470.27,1002.71,2.04757
465.366,1016.13,2.51574
477.978,945.864,3.33411
471.53,988.603,4.17128
570.355,966.62,2.0397
533.455,993.683,2.66732
552.132,950.123,2.28624
531.786,951.332,3.08426
549.594,979.837,2.95011
581.044,980.754,2.78188
553.666,980.825,3.82929
588.398,992.979,3.15328
638.809,985.194,3.95394
632.46,985.029,4.05424
645.3,1005.57,3.54159
671.168,948.085,3.84328
669.272,955.189,3.72355
34.2702,1057.07,3.40245
66.6261,1021.86,3.99702
49.0896,1087.34,3.58369
93.302,1047.87,2.33413
130.624,1066.46,2.45627
103.201,1080.54,3.22729
90.232,1054.17,3.53769
127.116,1063.08,3.28726
110.324,1084.18,3.51507
86.2802,1061.45,4.54748
148.748,1032.45,1.37147
195.419,1039.42,2.08934
166.192,1049.12,1.51977
146.487,1056.14,1.43247
206.752,1019.69,3.1864
182.45,1035.07,3.04165
147.282,1061.95,2.93854
206.08,1071.54,3.05538
208.647,1078.85,2.62557
216.866,1019.83,3.85119
204.941,1024.6,3.74698
195.958,1048.27,3.43423
161.113,1062.57,3.45188
172.734,1063.07,3.73401
184.252,1072.17,3.31607
216.555,1074.04,3.86214
186.012,1077.46,3.7521
153.793,1088.93,3.69547
284.84,1018.68,1.87342
285.97,1086.39,1.61233
224.216,1030.52,2.62371
220.092,1032.48,2.81083
243.004,1045.58,2.43811
273.022,1056.87,3.14503
226.442,1058.96,3.27014
231.921,1064.8,2.66341
252.848,1086.27,2.2123
229.788,1021.9,3.27069
265.426,1041.22,3.42562
264.715,1046.53,3.46089
267.753,1058.21,3.30519
252.701,1058.45,2.87338
246.762,1062.43,3.75704
282.227,1079.08,3.86928
231.261,1081.95,4.11142
265.241,1084.01,3.82904
289.662,1088.04,3.71387
248.944,1040.66,4.5751
305.921,1046.6,2.20057
334.668,1066.93,1.88627
291.855,1019.83,2.11754
321.777,1038.63,3.01956
307.098,1053.35,2.44155
307.357,1060.51,2.29328
326.387,1065.97,2.63651
348.353,1073.22,3.20794
358.353,1035.39,3.77781
313.616,1043.38,3.60796
346.993,1047.57,3.75065
298.227,1048.73,3.35845
329.798,1062.5,3.90832
352.101,1079.97,3.84254
319.349,1083.16,3.38405
305.479,1038.06,4.36453
397.318,1027.02,2.08553
366.323,1060.93,0.958583
404.822,1053.35,1.81116
395.421,1055.91,3.10506
383.393,1058.12,2.85046
397.861,1060.03,2.42924
417.046,1063.55,2.62818
403.092,1066.79,3.10663
398.367,1035.42,3.55912
420.941,1056.71,2.78515
368.694,1087.63,3.36894
415.192,1067.11,4.30066
493.63,1030.77,1.90084
457.136,1036.23,2.60698
506.465,1067.09,1.63453
447.77,1067.82,1.82298
480.217,1074.9,2.20846
495.214,1057.92,3.15691
471.733,1066.25,3.02167
469.44,1081.27,1.56115
443.054,1086.21,2.41441
452.298,1021.56,3.37472
454.813,1022.98,3.4571
460.575,1030.25,3.92651
497.174,1035.52,3.31072
479.369,1040.36,3.25112
437.451,1053.75,3.61774
446.565,1061.58,4.19545
439.569,1082.86,3.78143
525.55,1025.1,2.83263
564.505,1030.58,2.70539
577.862,1033.97,3.37774
574.871,1063.91,2.30532
535.611,1019.09,3.71426
541.714,1019.69,3.50893
556.007,1031.56,4.00404
532.458,1053.63,3.38682
563.637,1087.56,3.36504
573.777,1067.46,5.00512
532.893,1072.53,4.36222
584.47,1033.85,2.35931
591.075,1038.44,2.60131
608.609,1052.26,3.56577
612.414,1072.25,1.7062
630.139,1079.18,2.31478
583.565,1046.85,3.45442
627.347,1067.58,3.7942
644.387,1085.26,5.30529
25.7241,1119.66,3.14251
51.4844,1140.05,2.06643
65.3709,1128.86,3.64421
22.0242,1134.69,3.71658
58.537,1141.81,3.22876
5.90672,1160.31,4.22992
38.0303,1153.96,4.95261
122.267,1090.59,1.44258
112.843,1149.29,1.64077
127.879,1149.72,1.19085
93.9276,1162.87,1.56148
130.023,1091.79,3.20267
93.8423,1093.39,2.38771
128.76,1119.27,3.2227
92.0332,1090.27,3.341
144.931,1092.55,3.37672
122.729,1109.14,3.53019
130.29,1142.07,3.51123
95.7787,1153.49,4.00561
129.391,1159.42,3.6629
80.365,1101.76,4.5372
173.404,1101.91,1.39861
208.502,1117.35,1.80343
215.654,1132.46,1.60771
161.801,1137.37,1.46103
216.559,1095.04,2.37237
184.396,1099.52,3.17279
190.768,1121.74,2.61564
154.505,1140.93,2.81896
183.679,1147.82,2.5218
157.34,1152.91,2.71679
194.341,1115.05,3.8508
210.65,1125.27,3.58976
197.906,1138.19,3.20965
202.32,1155.72,3.39849
150.418,1161.13,4.05225
183.932,1124.38,4.49738
201.207,1140.51,4.03003
157.046,1158.14,4.41369
256.985,1107.88,2.11547
280.602,1108.71,1.09605
277.747,1117.44,1.27057
218.385,1155.78,1.63436
244.55,1099.41,3.24492
254.023,1111.13,3.26363
268.293,1122.46,2.08438
253.735,1128.2,2.17429
275.108,1133.18,3.25344
284.371,1147.96,1.79434
230.331,1093.83,3.32317
287.409,1094.47,3.59838
278.134,1099.29,4.2314
283.801,1100.94,3.66788
269.548,1114.97,3.6308
250.723,1124.7,3.29939
257.919,1129.1,3.38412
240.076,1130.55,3.63593
223.081,1135.83,3.70833
271.8,1138.85,3.41081
228.068,1140.31,3.99227
261.587,1100.54,4.45325
240.183,1124.69,4.38875
313.536,1107.88,2.168
363.208,1112.22,1.72322
299.311,1125.66,1.82565
310.774,1154.32,1.81071
301.025,1097.04,2.49448
352.624,1153.11,3.21853
308.739,1106.2,3.70501
320.508,1144.03,4.06861
359.73,1151.62,4.01641
368.716,1122.65,0.190816
364.468,1101.96,2.28514
417.23,1107.18,3.35927
385.376,1113.49,2.89662
364.911,1126.7,0.422504
412.986,1143.63,2.7772
429.424,1148.91,2.8992
383.248,1152.21,3.39048
393.285,1156.38,3.34622
376.384,1104.61,3.49489
432.441,1113.8,3.94058
412.52,1114.05,3.70485
434.534,1118.59,3.76581
393.52,1140.78,3.8147
430.877,1144.48,3.59024
414.518,1147.84,3.40497
388.333,1159.15,3.40898
439.342,1108.47,1.4136
457.483,1110.39,2.97785
473.762,1127.87,2.84499
464.559,1131.94,2.13568
