Position X,Position Y,Position Z
643.679,1607.91,-34.7984
582.101,1652.52,-34.2657
616.455,1632.24,-32.9455
604.574,1604.86,-32.723
605.408,1610.25,-31.9191
628.553,1614.14,-32.3098
585.143,1617.36,-32.1849
642.443,1631.9,-32.3156
631.117,1639.15,-32.7678
654.84,1625.45,-33.4307
327.572,1677.52,-35.3263
313.392,1678.77,-33.4997
348.955,1680.44,-32.946
321.151,1688.42,-32.7166
314.199,1689.68,-32.0502
400.738,1680.82,-35.1055
415.95,1689.83,-35.1249
416.255,1676.07,-33.2154
443.959,1675.31,-35.7736
510.916,1677.03,-32.3479
629.59,1368.57,-31.7983
537.693,1395.42,-31.7293
552.992,1405.62,-31.5361
514.269,1417.63,-31.5712
670.471,1384.43,-31.9739
662.899,1428.2,-31.2707
688.682,1428.61,-31.3416
675.275,1429.57,-31.4819
701.576,1438.31,-31.7619
268.473,1452.77,-32.5157
363.792,1458.15,-31.3616
379.851,1489.21,-31.6949
374.005,1492.06,-31.5787
497.068,1469.45,-31.2214
497.398,1488.21,-31.5834
505.488,1494.89,-31.7954
578.347,1482.04,-31.8932
646.996,1471.89,-31.6293
675.517,1462.51,-31.7639
663.686,1483.87,-31.081
681.311,1505.31,-31.75
674.726,1519.69,-31.6558
226.276,1560.11,-31.4982
259.963,1566.71,-31.8412
293.903,1545.71,-31.8034
354.573,1548.27,-31.4663
373.093,1536.47,-31.7284
419.847,1545.16,-31.7559
382.388,1549.37,-31.502
507.887,1527.24,-31.4836
449.972,1540.95,-31.4403
493.506,1589.83,-30.8124
557.022,1529.1,-31.7014
547.217,1535.61,-31.8255
581.252,1548.46,-31.6689
516.309,1575.37,-31.3452
594.899,1530.07,-31.3696
643.851,1549.18,-31.4695
618.581,1551.52,-31.6929
645.251,1584.09,-30.9667
587.242,1587.57,-31.7366
603.816,1588.56,-31.444
606.908,1591.22,-31.1897
651.811,1591.38,-30.9107
645.092,1595.44,-31.1372
641.22,1596.31,-30.8641
684.985,1563.2,-31.0295
217.554,1603.02,-31.8268
269.269,1663.01,-31.2954
318.4,1615.05,-31.8177
563.625,1648.65,-31.0604
614.82,1621.45,-31.581
657.87,1607.39,-31.4944
552.989,1691.57,-31.0075
588.555,1689.02,-31.2497
592.252,1535.04,-32.4993
610.251,1541.08,-32.8604
594.002,1542.77,-32.6166
597.595,1544.24,-32.0565
648.755,1547.58,-32.925
648.297,1552.76,-32.4507
651.583,1557.58,-32.2583
640.688,1566.24,-32.7161
606.049,1578.84,-32.4775
611.136,1595.81,-32.2451
583.276,1597.29,-32.1249
678.448,1538.53,-35.8379
673.506,1528.45,-34.2697
658.887,1543.23,-33.9793
684.453,1547.74,-33.1002
671.62,1546.92,-32.5805
701.937,1549.02,-31.9184
673.463,1580.24,-32.8421
216.138,1607.09,-31.9687
287.606,1666.8,-34.3494
281.401,1605.91,-33.1258
290.354,1645.42,-32.3647
283.078,1662.09,-33.7417
286.292,1600.65,-32.1068
289.543,1604.58,-32.7286
274.876,1606.15,-32.5347
290.601,1609.66,-32.2389
232.755,1625.55,-32.5022
348.613,1600.09,-35.6256
305.091,1607.96,-35.1952
348.465,1606.81,-35.3793
359.755,1610.65,-35.7001
349.086,1653.08,-35.7424
339.891,1612.11,-34.0951
356.063,1658.94,-34.7378
351.271,1659.57,-34.7098
312.197,1607.7,-33.1274
343.616,1608.3,-33.4625
292.661,1613.24,-33.8068
302.836,1615.44,-32.628
304.021,1622.17,-32.7556
334.305,1657.83,-33.3506
308.387,1659.41,-33.188
337.827,1599.67,-32.7055
326.46,1614.52,-32.2029
303.852,1657.2,-31.873
401.998,1601.07,-35.4498
384.33,1605.99,-35.6639
426.217,1615.53,-35.7475
371.229,1634.86,-35.227
392.025,1635.27,-35.9783
386.339,1649.06,-34.8428
408.208,1654.52,-35.8553
404.504,1660.61,-35.763
397.604,1636.83,-34.06
388.153,1605.08,-33.3136
416.161,1633.41,-34.4677
420.068,1658.12,-33.5203
427.107,1662.04,-32.9813
400.925,1669.96,-32.5355
428.993,1603.25,-31.9429
432.838,1607.51,-32.288
423.82,1611.48,-32.7607
383.949,1616.61,-32.0381
407.586,1630.15,-31.9653
423.046,1637.47,-32.9103
374.449,1645.77,-32.2525
379.143,1650.35,-32.3913
374.279,1650.93,-32.6584
375.452,1655.72,-32.0293
425.678,1671.17,-31.8957
470.263,1616.4,-34.5679
446.044,1603.35,-33.9794
501.116,1611.3,-34.0001
476.29,1616.21,-34.1434
453.197,1618.98,-33.9375
488.276,1644.26,-34.4236
439.076,1601.69,-32.8988
494.96,1612.39,-32.9608
505.559,1621.35,-33.3033
459.999,1611.8,-32.5056
