Position X,Position Y,Position Z
346.296,1835.33,-14.1402
362.589,1881.61,-14.0445
311.655,1883.49,-14.0131
389.969,1821.17,-15.538
409.155,1821.55,-15.6588
430.304,1826.4,-15.211
398.172,1837.57,-15.5147
428.007,1888.93,-14.2163
365.279,1850.4,-13.698
496.216,1820.37,-14.4551
463.896,1880.92,-14.4144
441.684,1864.82,-13.8596
520.631,1853.57,-15.2546
542.107,1829.72,-14.2164
526.865,1830.34,-14.1032
483.491,1705.14,-16.5916
465.536,1706.55,-16.7626
448.918,1710.51,-16.6397
455.193,1713.85,-16.161
442.572,1725.11,-16.79
449.892,1743.24,-16.7563
498.567,1676.01,-15.1162
472.611,1695.82,-15.2586
473.391,1700.99,-15.7896
491.216,1706.27,-15.5604
439.617,1729.35,-15.7256
492.663,1672.93,-14.9768
447.639,1673.58,-14.8515
475.823,1674.85,-15.1077
503.054,1680.34,-14.1935
488.188,1689.76,-14.7781
479.003,1706.84,-14.8422
480.017,1711.85,-14.9905
476.892,1716.84,-14.6376
449.433,1719.19,-14.6174
450.4,1727.13,-14.2946
482.521,1728.7,-14.5676
505.44,1729.49,-14.466
483.175,1684.03,-13.8856
493.822,1696.29,-13.9235
463.817,1724.5,-14.1951
534.755,1691.6,-16.4542
561.388,1703.59,-16.6721
556.659,1723.2,-16.8198
510.386,1708.98,-15.2056
517.563,1708.97,-15.4394
575.112,1684.58,-14.5596
576.852,1689.62,-14.7441
553.376,1703.77,-14.4643
519.602,1724.93,-14.928
573.277,1672.08,-13.4523
547.308,1681.07,-13.982
588.2,1715.51,-16.8306
617.053,1680.78,-15.9766
620.633,1722.46,-14.7368
604.537,1727.87,-14.4213
51.5413,1750.46,-17.0307
67.2018,1761.41,-16.2667
38.2217,1746,-15.4063
64.5919,1749.2,-15.4642
33.0217,1755.6,-15.4591
60.9067,1760.81,-15.4714
49.4809,1769.69,-16.4717
62.7117,1812.43,-15.9891
58.3237,1750.78,-14.9114
60.0069,1795.94,-14.7885
49.4429,1807.62,-14.9979
72.349,1786.65,-13.9628
123.022,1750.06,-16.1939
137.991,1776.69,-16.8438
76.0272,1815.45,-17.157
129.021,1814.61,-16.2664
113.314,1761.73,-15.43
79.0478,1762.04,-15.2642
82.4761,1768.55,-15.7418
73.0962,1776.08,-15.5666
74.4144,1783.41,-15.7145
79.311,1786.76,-16.8109
77.2212,1795.73,-15.7449
123.247,1799.39,-15.8596
141.586,1813.76,-15.1165
138.777,1766.29,-14.4666
129.566,1782.84,-14.7407
108.246,1811.76,-14.7047
197.771,1763.58,-16.9679
202.038,1764.98,-17.4343
162.392,1767.89,-16.6291
204.542,1794.39,-16.794
202.451,1798.68,-16.7819
175.51,1804.84,-17.3325
191.69,1755.85,-16.1057
185.825,1757.81,-15.7104
158.392,1759.91,-15.4937
168.392,1768.65,-15.7923
217.777,1771.43,-15.7484
165.648,1778.05,-15.6796
165.233,1787.99,-16.0057
187.573,1789.07,-15.3682
166.067,1793.11,-15.6728
160.789,1797.1,-15.6893
179.807,1806.12,-15.6738
197.995,1808.38,-16.4395
152.181,1814.36,-15.6727
213.821,1750.02,-14.9348
201.484,1767.94,-14.7734
170.932,1796.46,-14.8326
274.89,1768.1,-16.4278
260.545,1791.38,-16.126
280.116,1796.03,-17.1406
