Position X,Position Y,Position Z
584.826,1402.85,-42.0821
625.14,1409.64,-41.7622
589.448,1435.33,-42.0081
604.57,1385.96,-39.9684
582.557,1383.14,-38.9971
360.155,1456.42,-41.5197
401.663,1455.25,-39.1815
459.551,1455.18,-40.5044
320.336,1316.75,-38.6025
404.682,1367.36,-38.5153
292.306,1451.43,-38.2507
504.699,1411.99,-38.592
333.619,1405.35,-39.1695
344.417,1407.82,-39.1566
339.707,1409.51,-38.729
326.532,1410.68,-39.5315
321.911,1413.16,-39.567
331.433,1415.32,-39.7975
296.934,1417.13,-39.2831
351.25,1419.46,-39.6326
330.867,1435.39,-39.5374
317.115,1442.88,-39.0224
426.244,1386.06,-42.5508
381.996,1393.36,-41.9176
391.045,1400.67,-41.8507
376.11,1406.93,-42.2897
410.28,1411.04,-42.0156
377.237,1411.84,-42.1247
372.396,1413.24,-42.0537
394.022,1421.73,-41.7909
397.46,1429.55,-41.8517
413.719,1430.51,-41.6008
375.02,1442.8,-41.6426
394.78,1391.7,-41.331
427.4,1403.12,-40.9806
414.187,1405.79,-40.6756
395.185,1413.26,-40.9222
420.62,1423.05,-41.1103
390.736,1423.62,-40.9462
424.079,1446.19,-41.5185
371.042,1388.11,-40.8466
383.838,1398.2,-39.7267
393.161,1433.2,-40.2715
414.666,1435.84,-40.3551
417.092,1380.73,-38.9103
400.561,1385.33,-39.5188
409.167,1395.31,-39.6465
401.515,1402.83,-39.3419
406.985,1403.42,-40.4236
383.305,1412.68,-39.2515
428.522,1412.99,-38.7004
371.504,1422.6,-40.2042
499.513,1393.69,-41.7058
475.582,1414.64,-41.5945
440.775,1416.13,-42.0782
445.515,1418.08,-41.9554
441.862,1421.87,-42.1142
473.957,1442.85,-41.9539
446.776,1381.14,-41.4792
498.937,1383.11,-41.4423
473.77,1385.36,-41.1151
457.017,1385.83,-41.3643
468.483,1388.55,-41.6671
445.108,1397.85,-41.1942
482.34,1423.89,-40.8016
453.694,1391.69,-41.0791
476.983,1394.18,-40.979
438.854,1395.67,-40.2986
470.795,1413.09,-39.7841
452.964,1438.99,-40.5607
477.695,1380.86,-39.0896
503.456,1384.66,-38.924
506.604,1406.67,-38.6959
479.398,1427.35,-39.6103
445.768,1427.75,-39.1523
455.302,1435.5,-39.3286
452.039,1446.44,-38.8031
554.76,1384.98,-41.3706
515.802,1414.25,-40.9589
555.899,1414.75,-40.3655
547.443,1421.56,-39.9356
575.963,1403.17,-38.9693
512.112,1403.53,-38.9766
553.179,1406.25,-38.7309
573.282,1408.99,-38.7027
535.152,1419.3,-38.8217
519.077,1427.64,-38.8149
512.762,1435.26,-39.2522
517.482,1439.02,-38.6871
616.441,1388.31,-41.9081
560.235,1352.11,-41.0376
536.823,1356.66,-40.7327
571.06,1368.04,-40.7894
546.517,1311.5,-40.3002
559.31,1315.54,-40.6999
557.5,1326.22,-39.9585
561.498,1330.72,-39.8057
515.725,1354.43,-40.1504
554.861,1312.05,-39.5065
533.736,1314.79,-39.3408
517.679,1321.42,-39.0549
578.222,1327.65,-39.3247
516.733,1338.15,-39.2013
520.773,1344.3,-39.3905
537.554,1344.63,-39.1274
549.226,1349.27,-39.7197
543.43,1350.56,-39.203
525.419,1359.61,-38.8888
573.366,1372.4,-39.3394
587.997,1311.63,-42.4787
628.189,1311.99,-42.1739
601.247,1314.62,-42.1772
608.673,1380.07,-41.7342
584.525,1333.88,-41.0135
589.327,1337.79,-40.9968
595.599,1353.17,-41.284
619.872,1341.76,-39.9051
604.604,1363.2,-39.7543
646.436,1320.61,-39.6821
600.424,1321.94,-38.9178
593.504,1325.36,-38.8291
601.19,1331.33,-39.3218
597.004,1335.72,-39.5729
605.365,1338.18,-38.9376
611.237,1375.23,-38.8887
657.685,1316.27,-41.4477
266.479,1404.97,-41.245
264.517,1420.29,-42.3081
281.432,1388.76,-41.731
262.284,1434,-41.5262
252.733,1402.93,-39.9575
268.379,1442.42,-39.9167
259.094,1401.24,-39.1879
342.318,1382.65,-42.1483
353.701,1383.65,-41.9215
317.974,1391.51,-42.4478
350.225,1398.92,-41.3137
341.151,1398.99,-42.0968
310.561,1400.4,-41.7548
297.018,1406.3,-41.6705
338.566,1410.8,-42.6087
308.461,1414.85,-41.6623
358.22,1428.59,-42.2747
316.362,1384.77,-41.298
353.497,1394.33,-40.7139
301.738,1401.77,-41.3071
316.409,1404.56,-40.9192
358.013,1408.93,-41.2752
335.448,1409.35,-41.4729
353.77,1433.95,-41.3613
310.637,1381.44,-40.5702
306.46,1382.57,-40.1207
334.137,1386.68,-40.1383
346.889,1386.63,-39.8922
313.673,1388.11,-40.0226
293.479,1405.62,-40.4937
328.97,1405.4,-40.2034
351.484,1405.67,-39.9304
328.467,1419.36,-39.8214
293.112,1420.73,-39.9973
343.021,1384.01,-39.9179
356.549,1388.74,-39.6049
297.872,1397.81,-39.0141
326.593,1400.41,-39.5748
387.043,1379.42,-39.8143
425.946,1334.74,-39.5062
421.238,1348.32,-39.5052
396.691,1357.93,-39.6221
375.248,1365.98,-39.448
373.377,1371.76,-39.0492
423.202,1374.54,-39.167
473.559,1310.34,-41.8115
456.203,1319.77,-42.1792
473.171,1326.27,-42.3324
482.396,1332.71,-42.1
499.981,1335.05,-42.6092
470.617,1352.28,-41.8974
473.061,1356.12,-42.2006
466.258,1361.87,-41.8327
468.677,1366.2,-42.3496
455.637,1377.59,-42.031
484.359,1308.97,-41.0935
450.955,1312.64,-41.6128
507.176,1312.9,-41.6372
436.584,1314.98,-41.5879
498.866,1319.54,-41.0384
442.979,1321.91,-41.2425
436.964,1328.03,-41.1346
453.709,1337.96,-40.6845
478.889,1340.2,-40.8068
461.928,1361.07,-41.2181
454.697,1366.47,-41.1813
489.609,1367.15,-41.0828
463.731,1377.75,-41.3176
438.497,1380.25,-40.6679
448.514,1308.35,-40.1553
444.169,1311.24,-40.6936
466.132,1311.06,-40.465
456.909,1313.37,-39.6198
452.948,1325.17,-39.719
445.071,1329.51,-40.5289
500.346,1355.08,-39.988
496.344,1358.82,-40.068
445.897,1363.06,-40.5346
485.659,1364.06,-39.8014
498.165,1364.9,-40.5597
464.017,1367.59,-40.09
479.565,1318.69,-39.3604
470.882,1341.27,-39.4794
497.448,1341.93,-39.517
505.417,1344.5,-39.5279
450.095,1344.71,-39.432
442.887,1345.4,-39.5558
504.926,1352.32,-39.3007
442.753,1362.74,-39.4461
482.721,1367.49,-39.8535
472.947,1369.22,-38.993
467.299,1369.45,-38.8223
460.704,1373.02,-38.6075
447.33,1376.9,-38.7616
520.735,1314.43,-41.6781
540.959,1315.85,-42.4125
538.325,1320.62,-42.1788
516.918,1324.84,-42.4948
544.96,1326.21,-42.5686
511.641,1326.45,-42.4503
530.008,1331.87,-41.9438
511.863,1333.72,-41.4001
562.086,1339.51,-42.0848
527.996,1340.82,-42.2533
556.012,1350.17,-41.972
548.364,1353.1,-42.585
544.067,1360.47,-41.7176
514.185,1360.79,-41.3015
553.795,1362.11,-42.1657
548.338,1363.65,-42.6404
510.149,1363.88,-41.9193
524.553,1366.45,-42.0189
548.134,1369.02,-42.1499
560.612,1309.6,-41.3638
566.512,1309.56,-40.8844
573.411,1334.82,-41.3922
565.471,1339.93,-40.6007
566.388,1352.09,-41.2465
351.585,1335.86,-41.8615
318.424,1340.61,-42.2019
292.407,1344.62,-42.2551
356.211,1347.02,-42.4288
341.344,1347.88,-42.2813
315.181,1348.21,-41.7809
295.903,1349.97,-42.4836
321.575,1361.31,-41.9209
362.489,1366.13,-42.1194
344.658,1367.41,-41.4457
328.652,1370.27,-41.3336
356.742,1370.23,-42.2952
291.29,1309.01,-41.1865
332.371,1344.29,-41.0397
351.939,1344.22,-41.3955
300.845,1350.46,-41.497
322.391,1357.16,-41.1883
339.374,1356.82,-41.4108
348,1361.69,-41.8144
346.78,1372.57,-41.147
302.767,1314.03,-39.7568
337.066,1317.41,-40.6236
362.74,1321.15,-39.7426
349.633,1321.81,-40.0223
338.189,1327.41,-39.5484
332.618,1330.35,-40.4308
327.434,1331.95,-39.9833
361.962,1334.85,-40.9145
325.624,1337.11,-40.0721
358.051,1337.91,-39.8701
347.613,1338.1,-40.2602
361.783,1344.06,-39.7786
306.247,1346.17,-41.225
350.358,1346.94,-39.5824
320.871,1346.86,-39.9712
296.317,1352.44,-39.8615
314.466,1356.31,-40.2986
331.056,1363.92,-40.1963
303.45,1365.24,-40.042
298.977,1320.89,-39.6819
321.822,1332.22,-39.3722
304.39,1333.94,-39.2053
347.897,1333.9,-40.1922
308.702,1339.19,-39.5088
336.729,1341.82,-39.5555
319.975,1352.12,-39.608
319.131,1359.19,-39.4363
299.378,1359.71,-39.8434
310.161,1364.75,-39.4981
376.038,1311.1,-42.2757
387.195,1313.18,-42.4644
421.736,1315.86,-42.4732
429.991,1327.82,-42.2076
370.885,1328.77,-42.313
390.685,1333.26,-42.5476
434.477,1333.56,-42.2204
374.373,1336.85,-42.537
380.321,1339.92,-42.0548
385.22,1340.52,-41.9279
395.004,1341.51,-42.224
411.428,1343.22,-41.932
422.633,1344.75,-41.8026
416.04,1344.51,-42.4098
406.01,1345.23,-42.2724
370.152,1346.71,-42.1748
382.104,1356.39,-42.2681
426.751,1310.78,-40.9909
368.431,1317.47,-41.1445
425.218,1359.08,-40.9022
432.435,1325.09,-40.4255
372.669,1325.56,-39.8873
392.975,1328.04,-40.5435
367.43,1333.34,-40.7602
366.718,1338.46,-40.886
377.352,1340.88,-39.6607
424.61,1340.21,-39.8744
376.509,1359.47,-39.815
407.223,1362.62,-39.9598
413.122,1367.58,-40.9396
395.889,1372.7,-41.0596
379.579,1371.95,-40.4061
385.72,1374.17,-39.6708
399.091,1377.36,-40.1469
559.798,1287.85,-38.9615
523.005,1288.62,-39.6012
510.638,1290.29,-39.4964
543.188,1306.78,-38.7998
556.696,1307.8,-39.5046
592.39,1236.97,-42.3753
583.526,1245.28,-42.5408
620.982,1253.77,-41.6457
610.564,1254.81,-41.783
593.445,1256.31,-41.7613
597.637,1257.04,-42.2182
606.218,1260.55,-42.3791
586.421,1267.57,-42.3238
619.896,1288.71,-41.7446
612.26,1296.64,-42.4363
594.849,1300.32,-42.0514
598.508,1253.1,-41.0749
618.531,1258.48,-41.0323
630.778,1282.6,-40.693
607.353,1300.7,-41.5971
637.183,1239.92,-40.6437
588.707,1240.58,-40.0898
617.241,1250.61,-40.4562
646.397,1254.39,-39.9697
591.271,1277.56,-40.3132
590.652,1282.56,-40.4989
623.502,1288.66,-39.5859
624.839,1238.39,-39.5908
585.552,1263.67,-38.9605
584.814,1268.29,-38.7142
582.042,1295.3,-39.4406
603.52,1297.48,-39.4195
590.777,1307.62,-39.5552
672.607,1244.93,-41.0552
683.813,1254.41,-41.2007
677.644,1249.61,-39.1541
202.256,1334.46,-41.8626
211.125,1317.78,-39.9888
282.711,1309.96,-42.1803
249.034,1314.29,-42.2063
288.994,1323.18,-42.572
280.213,1328.31,-41.9871
286.861,1366.18,-42.1412
270.476,1380.35,-42.2379
260.931,1310.33,-41.3649
234.179,1315.72,-40.8904
258.621,1317.45,-41.6529
274.92,1320.01,-41.1377
254.996,1328.25,-41.4007
223.741,1338.6,-41.1887
244.478,1341.87,-41.053
276.284,1310.02,-39.9974
289.071,1312.57,-40.0937
276.863,1315.75,-39.5823
236.007,1318.55,-39.8024
286.678,1361.88,-40.5196
239.971,1321.79,-39.5555
265.159,1322.57,-38.7209
289.79,1327.62,-39.7784
220.426,1335.71,-39.2717
286.37,1344.68,-39.5539
282.104,1347.95,-39.271
277.299,1367.88,-38.6737
334.062,1315.85,-42.5636
330.884,1322.03,-42.1796
344.137,1322.82,-42.5186
298.052,1329.64,-42.5125
313.251,1330.36,-41.9354
291.035,1331.84,-41.6897
418.28,1261.76,-40.1435
390.715,1265.97,-40.0867
416.991,1266.29,-39.9664
386.186,1268.72,-39.9237
418.164,1271.99,-40.1574
429.581,1272.69,-40.5444
414.636,1289.68,-39.9859
389.867,1293.47,-40.447
419.146,1293.58,-39.9866
388.298,1298.32,-39.9174
429.881,1300.06,-40.0704
382.199,1300.65,-39.7178
418.682,1301.75,-39.9501
395.047,1303.97,-39.6023
379.726,1247.9,-39.4858
396.994,1293.9,-39.7818
409.379,1294.46,-39.5518
493.046,1237.81,-42.6335
473.063,1242.37,-42.0319
494.395,1241.73,-42.2945
485.534,1249.34,-42.2037
507.126,1259.1,-42.2548
507.985,1265.99,-42.4335
457.041,1273.23,-42.458
475.53,1281.93,-41.9361
498.26,1291.49,-41.8387
454.662,1294.8,-42.3745
440.406,1306.22,-42.5245
462.603,1308.25,-42.4002
475.716,1255.46,-41.4615
458.054,1256.93,-41.293
453.176,1267.91,-40.7665
458.976,1285.46,-41.0484
467.126,1288.05,-41.0372
472.043,1299.09,-41.2678
436.767,1303.53,-40.6103
458.456,1248.86,-40.7847
450.109,1254.8,-39.7438
448.932,1269.73,-39.9897
445.934,1279.55,-39.7129
478.216,1293.77,-40.1684
499.497,1299.55,-40.0112
482.323,1261.42,-39.5222
497.441,1279.91,-38.8756
456.783,1299.45,-39.3436
448.625,1304.14,-39.0411
556.759,1241.88,-41.9202
553.928,1252.77,-42.0924
511.824,1258.49,-42.0226
575.924,1262.13,-42.0144
575.653,1272.61,-42.2372
517.347,1276.92,-42.4383
540.749,1278.45,-42.2383
569.476,1282.6,-42.5021
576.324,1291.99,-42.3356
545.085,1293.64,-42.1682
569.365,1304.92,-41.7658
570.373,1252.83,-41.5346
567.013,1253.75,-41.0139
535.405,1254.23,-41.7317
547.129,1267.63,-40.4179
547.675,1273.69,-41.5982
571.309,1288.91,-41.3227
554.674,1288.62,-41.5619
562.548,1293.35,-41.5754
557.867,1295.98,-40.9756
577.596,1297.01,-40.8893
563.864,1297.94,-41.4004
556.732,1304.68,-41.6526
577.206,1248.67,-39.9079
577.593,1258.85,-40.5034
565.891,1269.33,-40.0896
545.135,1280.16,-39.8441
513.091,1298.74,-40.1951
557.573,1300.63,-40.1774
552.538,1235.59,-39.5646
525.287,1249.03,-39.5365
562.484,1249.19,-39.0528
516.338,1259.92,-39.7457
555.222,1266.87,-39.9401
220.538,1285.14,-41.5871
225.492,1236.32,-40.0771
262.825,1239.03,-39.7362
271.27,1240.23,-39.825
225.969,1248,-39.8016
288.764,1249.23,-39.9283
276.284,1249.34,-40.1774
280.564,1263.65,-40.2618
226.284,1266.75,-40.5402
273.456,1270.14,-40.3117
218.566,1273.25,-39.9872
239.543,1279.18,-40.1418
236.143,1282.1,-40.562
283.592,1293.73,-39.8421
278.273,1300.92,-40.651
282.253,1307.34,-39.7083
260.922,1264.44,-39.1774
289.057,1265,-39.2294
230.545,1285.35,-40.1475
270.977,1291.16,-39.457
234.462,1291.5,-39.5652
244.411,1305.41,-39.3641
348.774,1236.45,-42.2645
339.797,1239.07,-42.4147
318.663,1246.87,-42.2092
296.516,1247.5,-42.65
349.526,1252.24,-42.3433
352.441,1258.03,-42.4576
330.719,1259.67,-42.3621
297.237,1261.75,-41.7354
291.181,1263.45,-42.1017
309.549,1264.13,-42.2515
308.494,1269.49,-41.9809
358.596,1273.92,-42.4178
323.988,1278.53,-41.8079
304.693,1280.15,-42.2555
296.716,1281.96,-42.0011
310.212,1285.05,-42.2738
335.22,1287.31,-42.0388
355.637,1298.39,-41.8414
291.358,1304.35,-42.3557
317.002,1240.47,-41.6147
346.397,1253.89,-40.6422
304.667,1254.28,-41.6233
322.961,1257.9,-40.9262
345.701,1284.51,-41.9564
299.979,1288.36,-40.9105
328.583,1236.43,-39.9591
296.99,1244.6,-40.0144
339.252,1244.85,-40.0694
293.236,1254.5,-39.7586
338.866,1270.07,-40.0842
315.708,1275.31,-40.0443
309.201,1289.05,-39.9253
361.475,1291.84,-40.0395
351.409,1294.11,-39.8675
302.072,1298.94,-40.0556
304.06,1307.69,-39.8804
334.432,1244.71,-39.7123
325.721,1260.67,-39.5326
342.673,1266.06,-39.1774
392.499,1243.65,-41.8615
375.496,1256.97,-41.9663
393.111,1257.57,-42.1589
381.128,1265.04,-42.3931
399.66,1266.72,-42.4491
380.716,1269.47,-41.8102
387.611,1271.37,-42.2272
398.472,1271.48,-42.1499
407.924,1275.87,-42.4167
379.482,1278.09,-42.0522
418.064,1280.86,-42.4141
395.818,1283.11,-41.7963
393.902,1289.15,-42.0167
401.954,1294.28,-41.6025
373.293,1301.91,-42.3821
379.55,1241.28,-40.8066
391.375,1270.96,-41.5342
402.554,1273.41,-41.3386
382.091,1274.08,-41.0814
432.658,1283.45,-41.4222
427.926,1283.8,-41.5193
408.666,1287.93,-40.8698
379.53,1295.71,-40.9557
427.657,1304.92,-41.6892
374.565,1238.3,-40.2578
423.913,1243.93,-40.539
430.394,1249.67,-39.7737
386.132,1249.05,-39.9353
540.382,1210.17,-39.4733
555.945,1214.94,-39.5218
576.974,1218.8,-39.7848
571.011,1222.71,-39.6868
509.09,1225.17,-39.6606
628.438,1168.43,-42.2927
622.888,1176.1,-42.7156
609.506,1183.33,-42.6031
619.316,1187.92,-42.1259
627.502,1193.81,-41.5845
612.984,1202.57,-41.9534
593.33,1205.8,-42.5189
603.581,1206.71,-42.5366
622.228,1228.18,-42.0367
601.441,1230.65,-42.2262
591.442,1171.75,-40.7225
646.168,1173.91,-41.2369
650.183,1183.1,-40.7252
629.687,1203.14,-40.8627
639.212,1215.92,-41.5673
595.469,1218.81,-40.2082
647.372,1222.53,-41.0133
640.101,1226.16,-41.2274
607.709,1162.78,-39.8206
613.714,1174.36,-39.6305
623.753,1174.68,-39.4111
603.883,1182.39,-40.0356
584.931,1183.05,-40.1187
636.869,1192.72,-39.8538
614.113,1200.02,-39.7701
607.788,1205.14,-41.0197
621.214,1212.28,-40.2175
643.217,1220.33,-39.8874
621.234,1223.31,-39.9442
589.599,1233.79,-39.728
617.042,1179.42,-39.095
628.691,1179.67,-39.6414
582.899,1214.57,-38.7641
603.656,1234.85,-39.2951
677.796,1207.76,-42.0512
674.953,1212.42,-42.1909
712.974,1169.88,-41.306
681.353,1201.34,-41.458
695.117,1206.69,-40.3917
203.922,1240.94,-42.4596
205.875,1269.82,-41.7578
195.69,1270.51,-42.3073
199.566,1280.54,-42.374
212.058,1292.81,-42.2926
185.549,1239.42,-41.3399
202.753,1298.36,-40.8736
193.59,1237.07,-40.1254
208.132,1236.23,-40.432
210.202,1241.13,-39.8305
211.254,1258.75,-39.874
214.118,1267.09,-40.1434
204.664,1293.38,-39.9664
198.929,1263.78,-39.3342
206.957,1284.84,-39.5162
285.574,1238.11,-42.5401
260.342,1240.11,-42.244
242.585,1250.88,-42.5775
249.226,1252.77,-42.3084
289.017,1257.01,-42.1476
227.456,1259.39,-41.9649
245.685,1260.4,-42.3422
280.59,1261.1,-42.4664
249.457,1265.95,-42.3179
256.321,1275.97,-42.1428
259.434,1286.9,-42.3888
224.806,1287.41,-42.3786
265.479,1288.61,-41.6849
233.237,1294.29,-42.3882
227.437,1294.94,-42.364
289.313,1301.59,-41.8964
230.753,1238.62,-40.8688
240.145,1241,-40.8198
250.491,1246.41,-41.3373
289.434,1272.1,-40.7466
283.536,1273.39,-40.5706
380.535,1170.96,-40.6196
428.928,1172.34,-40.1466
385.596,1173.84,-40.5954
416.348,1176.49,-39.5993
367.716,1182.5,-40.2429
365.88,1186.08,-39.9418
399.146,1189.11,-40.1226
398.999,1195.27,-39.9758
423.115,1203.3,-40.0719
384.442,1234.79,-40.7219
375.032,1182.04,-39.5434
